yourlist:M20211110A084FC58F6BBA219896F365D15F2EB442C8B28F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YFR030W	P39692	MET10_YEAST	reviewed	Sulfite reductase [NADPH] flavoprotein component (EC 1.8.1.2)	MET10 YFR030W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1035
YKL120W	P32332	OAC1_YEAST	reviewed	Mitochondrial oxaloacetate transport protein (Mitochondrial carrier protein PMT)	OAC1 PMT PMT1 YKL120W YKL522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	324
YNR058W	P50277	BIOA_YEAST	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (Diaminopelargonic acid synthase)	BIO3 YNR058W N3510	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	480
YBR072W	P15992	HSP26_YEAST	reviewed	Heat shock protein 26 (26 kDa heat shock protein)	HSP26 YBR072W YBR0714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214
YER091C	P05694	METE_YEAST	reviewed	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Delta-P8 protein) (Methionine synthase, vitamin-B12 independent isozyme)	MET6 YER091C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	767
YHR179W	Q03558	OYE2_YEAST	reviewed	NADPH dehydrogenase 2 (EC 1.6.99.1) (Old yellow enzyme 2)	OYE2 YHR179W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400
YKL073W	P36016	LHS1_YEAST	reviewed	Heat shock protein 70 homolog LHS1 (EC 3.6.1.-)	LHS1 YKL073W YKL355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881
YJR137C	P47169	MET5_YEAST	reviewed	Sulfite reductase [NADPH] subunit beta (EC 1.8.1.2) (Extracellular mutant protein 17)	MET5 ECM17 YJR137C J2126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1442
YDR019C	P48015	GCST_YEAST	reviewed	Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT) (Glycine decarboxylase complex subunit T)	GCV1 YDR019C YD9335.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400
YCL030C	P00815	HIS2_YEAST	reviewed	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	HIS4 YCL030C YCL183 YCL30C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	799
YOR221C	Q12283	FABD_YEAST	reviewed	Malonyl CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Malonyl-CoA:ACP transferase)	MCT1 YOR221C YOR50-11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360
YGR154C	P48239	GTO1_YEAST	reviewed	Glutathione S-transferase omega-like 1 (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1)	GTO1 YGR154C G6664	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	356
YML028W	P34760	TSA1_YEAST	reviewed	Peroxiredoxin TSA1 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 1) (cTPx 1) (Protector protein) (PRP) (Thiol-specific antioxidant protein 1) (Thioredoxin peroxidase type Ia) (TPx type Ia) (Thioredoxin-dependent peroxide reductase) (Thioredoxin-dependent peroxiredoxin TSA1)	TSA1 TPX1 TSA ZRG14 YML028W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	196
YDR453C	Q04120	TSA2_YEAST	reviewed	Peroxiredoxin TSA2 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 2) (cTPx 2) (Thiol-specific antioxidant protein 2) (Thioredoxin peroxidase type Ib) (TPx type Ib) (Thioredoxin-dependent peroxiredoxin TSA2)	TSA2 YDR453C D9461.38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	196
YML130C	Q03103	ERO1_YEAST	reviewed	Endoplasmic oxidoreductin-1 (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase protein 1)	ERO1 YML130C YM4987.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563
YMR096W	Q03148	SNZ1_YEAST	reviewed	Pyridoxal 5'-phosphate synthase subunit SNZ1 (PLP synthase subunit SNZ1) (EC 4.3.3.6) (PDX1 homolog 1) (Pdx1.1) (p35)	SNZ1 YMR096W YM6543.03	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	297
YIL074C	P40510	SER33_YEAST	reviewed	D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	SER33 YIL074C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469
YBR054W	P38079	YRO2_YEAST	reviewed	Protein YRO2	YRO2 YBR054W YBR0507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344
YOR198C	P38934	BFR1_YEAST	reviewed	Nuclear segregation protein BFR1 (Brefeldin A resistance protein 1)	BFR1 YOR198C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	470
YBL075C	P09435	HSP73_YEAST	reviewed	Heat shock protein SSA3	SSA3 YBL075C YBL06.07 YBL0610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	649
YOL140W	P18544	ARGD_YEAST	reviewed	Acetylornithine aminotransferase, mitochondrial (ACOAT) (EC 2.6.1.11)	ARG8 YOL140W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423
YGR161C	P53289	RTS3_YEAST	reviewed	Protein phosphatase type 2A regulatory subunit RTS3	RTS3 YGR161C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	263
YDR400W	Q04179	URH1_YEAST	reviewed	Uridine nucleosidase (EC 3.2.2.3) (Uridine ribohydrolase)	URH1 YDR400W D9509.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	340
YHR208W	P38891	BCA1_YEAST	reviewed	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT) (EC 2.6.1.42) (Protein ECA39) (Protein TWT1)	BAT1 ECA39 TWT1 YHR208W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
YIL053W	P41277	GPP1_YEAST	reviewed	Glycerol-1-phosphate phosphohydrolase 1 (EC 3.1.3.21) ((DL)-glycerol-3-phosphatase 1) (Related to HOR2 protein 2)	GPP1 RHR2 YIL053W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250
YLL062C	Q12525	MHT1_YEAST	reviewed	Homocysteine S-methyltransferase 1 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 1) (SMM:Hcy S-methyltransferase 1)	MHT1 YLL062C L0552	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	324
YGR037C	P31787	ACBP_YEAST	reviewed	Acyl-CoA-binding protein (ACBP)	ACB1 ACB YGR037C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87
YOL143C	P50861	RIB4_YEAST	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	RIB4 YOL143C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	169
YJL053W	P40335	PEP8_YEAST	reviewed	Carboxypeptidase Y-deficient protein 8 (Vacuolar protein sorting-associated protein 26) (Vacuolar protein-targeting protein 4)	PEP8 GRD6 VPS26 VPT4 YJL053W J1152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379
YHR044C	P38774	DOG1_YEAST	reviewed	2-deoxyglucose-6-phosphate phosphatase 1 (2-DOG-6-P 1) (2-deoxyglucose-6-phosphatase 1) (EC 3.1.3.68)	DOG1 YHR044C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	246
YPR160W	P06738	PHSG_YEAST	reviewed	Glycogen phosphorylase (EC 2.4.1.1)	GPH1 YPR160W P9584.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	902
YCL043C	P17967	PDI_YEAST	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Thioredoxin-related glycoprotein 1)	PDI1 MFP1 TRG1 YCL043C YCL313 YCL43C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	522
YML004C	P50107	LGUL_YEAST	reviewed	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GLO1 YML004C YM9571.15C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326
YLR303W	P06106	CYSD_YEAST	reviewed	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	MET17 MET15 MET25 YLR303W L8003.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444
YDL124W	Q07551	KAR_YEAST	reviewed	NADPH-dependent alpha-keto amide reductase (AKR-E) (EC 1.2.1.-) (YKAR)	YDL124W D2240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
YGR256W	P53319	6PGD2_YEAST	reviewed	6-phosphogluconate dehydrogenase, decarboxylating 2 (EC 1.1.1.44)	GND2 YGR256W G9170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492
YDR320C	Q06677	SWA2_YEAST	reviewed	Auxilin-like clathrin uncoating factor SWA2 (Bud site selection protein 24) (DnaJ-related protein SWA2) (J protein SWA2) (Synthetic lethal with ARF1 protein 2)	SWA2 AUX1 BUD24 YDR320C D9798.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	668
YOR288C	Q12404	MPD1_YEAST	reviewed	Protein disulfide-isomerase MPD1 (EC 5.3.4.1)	MPD1 YOR288C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	318
YOR086C	Q12466	TCB1_YEAST	reviewed	Tricalbin-1	TCB1 YOR086C YOR3141c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1186
YIL108W	P40483	YIK8_YEAST	reviewed	Putative zinc metalloproteinase YIL108W (EC 3.4.24.-)	YIL108W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	696
YPL106C	P32589	HSP7F_YEAST	reviewed	Heat shock protein homolog SSE1 (Chaperone protein MSI3)	SSE1 MSI3 YPL106C LPG3C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	693
YJL153C	P11986	INO1_YEAST	reviewed	Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase)	INO1 YJL153C J0610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533
YAL044C	P39726	GCSH_YEAST	reviewed	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	GCV3 YAL044C FUN40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170
YER065C	P28240	ACEA_YEAST	reviewed	Isocitrate lyase (ICL) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)	ICL1 YER065C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	557
YFR044C	P43616	DUG1_YEAST	reviewed	Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)	DUG1 YFR044C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	481
YLR104W	Q08045	LCL2_YEAST	reviewed	Long chronological lifespan protein 2	LCL2 YLR104W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131
YPL223C	Q08969	GRE1_YEAST	reviewed	Protein GRE1 (Genes de respuesta a estres protein 1) (Hydrophilin)	GRE1 YPL223C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	168
YOL055C	Q08224	THI20_YEAST	reviewed	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	THI20 YOL055C O1239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
YPL258C	Q08975	THI21_YEAST	reviewed	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI21 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	THI21 YPL258C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
YGL009C	P07264	LEUC_YEAST	reviewed	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	LEU1 YGL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	779
YPL067C	Q02754	YP067_YEAST	reviewed	Uncharacterized protein YPL067C	YPL067C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198
YGL232W	P53072	TAN1_YEAST	reviewed	tRNA acetyltransferase TAN1 (EC 2.3.-.-)	TAN1 YGL232W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	289
YER003C	P29952	MPI_YEAST	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	PMI40 YER003C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	429
YLR314C	P32457	CDC3_YEAST	reviewed	Cell division control protein 3	CDC3 YLR314C L8543.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	520
YGL256W	P10127	ADH4_YEAST	reviewed	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	ADH4 ZRG5 YGL256W NRC465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382
YNR057C	P53630	BIOD_YEAST	reviewed	Dethiobiotin synthetase (DTB synthetase) (EC 6.3.3.3) (Dethiobiotin synthase) (DTBS)	BIO4 YNR057C N3506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237
YHR141C	P0CX28	RL44B_YEAST	reviewed	60S ribosomal protein L42-B (L41) (Large ribosomal subunit protein eL42-B) (Maintenance of killer protein 18) (YL27) (YP44)	RPL42B MAK18 RPL41B SCL41B YHR141C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
YPL028W	P41338	THIL_YEAST	reviewed	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Ergosterol biosynthesis protein 10)	ERG10 YPL028W LPB3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	398
YDR391C	Q04170	YD391_YEAST	reviewed	Uncharacterized protein YDR391C	YDR391C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	232
YGL253W	P04807	HXKB_YEAST	reviewed	Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B)	HXK2 HEX1 HKB YGL253W NRB486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486
YBR117C	P33315	TKT2_YEAST	reviewed	Transketolase 2 (TK 2) (EC 2.2.1.1)	TKL2 YBR117C YBR0912	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	681
YDL223C	Q07653	HBT1_YEAST	reviewed	Protein HBT1 (HUB1 target protein 1)	HBT1 Crem YDL223C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1046
YJL183W	P46985	MNN11_YEAST	reviewed	Probable alpha-1,6-mannosyltransferase MNN11 (EC 2.4.1.-) (Mannan polymerase II complex MNN11 subunit) (M-Pol II subunit MNN11)	MNN11 YJL183W J0425	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	422
YIL116W	P07172	HIS8_YEAST	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	HIS5 YIL116W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
YKR076W	P36156	GTO2_YEAST	reviewed	Glutathione S-transferase omega-like 2 (EC 2.5.1.18) (Extracellular mutant protein 4) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1)	ECM4 GTO2 YKR076W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	370
YAL062W	P39708	DHE5_YEAST	reviewed	NADP-specific glutamate dehydrogenase 2 (NADP-GDH 2) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 2)	GDH3 YAL062W FUN51	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
YOL058W	P22768	ASSY_YEAST	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	ARG1 YOL058W O1228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420
YER069W	Q01217	ARG56_YEAST	reviewed	Protein ARG5,6, mitochondrial [Cleaved into: N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase); Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)]	ARG5,6 YER069W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	863
YML069W	Q04636	POB3_YEAST	reviewed	FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)	POB3 YML069W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	552
YOR108W	Q12166	LEU9_YEAST	reviewed	2-isopropylmalate synthase 2, mitochondrial (EC 2.3.3.13) (Alpha-IPM synthase 2) (Alpha-isopropylmalate synthase 2) (Alpha-isopropylmalate synthase II)	LEU9 YOR108W YOR3227w	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	604
YBR135W	P20486	CKS1_YEAST	reviewed	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)	CKS1 YBR135W YBR1011	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	150
YGR063C	P32914	SPT4_YEAST	reviewed	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)	SPT4 YGR063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102
YKR066C	P00431	CCPR_YEAST	reviewed	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361
YMR039C	P54000	SUB1_YEAST	reviewed	RNA polymerase II transcriptional coactivator SUB1	SUB1 TSP1 YMR039C YM9532.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292
YDL236W	P19881	PNPP_YEAST	reviewed	4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)	PHO13 YDL236W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
YHR174W	P00925	ENO2_YEAST	reviewed	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	ENO2 ENOB YHR174W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
YNL064C	P25491	MAS5_YEAST	reviewed	Mitochondrial protein import protein MAS5 (Yeast dnaJ protein 1)	YDJ1 MAS5 YNL064C N2418 YNL2418C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409
YJR148W	P47176	BCA2_YEAST	reviewed	Branched-chain-amino-acid aminotransferase, cytosolic (BCAT) (EC 2.6.1.42) (Protein TWT2)	BAT2 TWT2 YJR148W J2209	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376
YOL088C	Q99316	MPD2_YEAST	reviewed	Protein disulfide isomerase MPD2 (EC 5.3.4.1)	MPD2 YOL088C O0941	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	277
YLR390W-A	O13547	CCW14_YEAST	reviewed	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238
YLR301W	Q05905	HRI1_YEAST	reviewed	Protein HRI1 (HRR25-interacting protein 1)	HRI1 YLR301W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
YNL117W	P30952	MLS1_YEAST	reviewed	Malate synthase 1 (EC 2.3.3.9)	MLS1 YNL117W N1921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554
YHR138C	P38841	YHT8_YEAST	reviewed	Uncharacterized protein YHR138C	YHR138C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	114
YFL037W	P02557	TBB_YEAST	reviewed	Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
YOL126C	P22133	MDHC_YEAST	reviewed	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)	MDH2 YOL126C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	377
YBR214W	P38314	SDS24_YEAST	reviewed	Protein SDS24	SDS24 YBR214W YBR1501	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527
YER055C	P00498	HIS1_YEAST	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	HIS1 YER055C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	297
YMR174C	P01094	IPA3_YEAST	reviewed	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	PAI3 YMR174C YM8010.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68
YGL100W	P53011	SEH1_YEAST	reviewed	Nucleoporin SEH1 (Nuclear pore protein SEH1) (SEC13 homolog 1)	SEH1 YGL100W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	349
YLR216C	P53691	PPID_YEAST	reviewed	Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6)	CPR6 YLR216C L8167.24	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	371
