Complex ID;Size;List of proteins;Quantitative prediction 0;Average abundance;Average size of simulated complexes;Best matching reference complex;Matching thr;Length of reference complex;P-value matching;Fraction of fictitious domains;Functional Enrichment (DAVID)
11;2;Q15599,O43707;20;20.0000;0.8000;Ternary complex (LRRC7, CAMK2a, ACTN4);0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15599,O43707&tool=chartReport&annot=GOTERM_MF_ALL
12;2;Q14677,Q00610;11;11.0000;0.9091;Profilin 1 complex;0.0833;6;0.00811081570530816;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14677,Q00610&tool=chartReport&annot=GOTERM_MF_ALL
13;2;P11177,P10515;231;231.0000;0.2684;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11177,P10515&tool=chartReport&annot=GOTERM_MF_ALL
14;2;P10644,P17612;41;41.0000;1.2683;PRKAC-AKAP5-ADRB1 complex;0.1000;5;0.006761306611038122;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P10644,P17612&tool=chartReport&annot=GOTERM_MF_ALL
15;2;O00330,P10515;57;57.0000;0.5614;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00330,P10515&tool=chartReport&annot=GOTERM_MF_ALL
16;2;P11940,Q15365;11;11.0000;1.4545;PABPC1-HSPA8-HNRPD-EIF4G1 complex;0.1000;5;0.006761306611038122;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11940,Q15365&tool=chartReport&annot=GOTERM_MF_ALL
17;2;P23396,P46781;8;8.0000;2.0000;40S ribosomal subunit, cytoplasmic;0.0308;65;0.00051466662263096;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P23396,P46781&tool=chartReport&annot=GOTERM_MF_ALL
18;2;P84077,P11233;13;13.0000;2.0000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P84077,P11233&tool=chartReport&annot=GOTERM_MF_ALL
19;2;P41091,P05198;69;69.0000;0.3188;DNA-PK-Ku-eIF2-NF90-NF45 complex;0.2500;8;2.5687460666072776e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P41091,P05198&tool=chartReport&annot=GOTERM_MF_ALL
20;2;P11498,P40926;37;37.0000;1.7297;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11498,P40926&tool=chartReport&annot=GOTERM_MF_ALL
21;2;Q14247,P50570;44;44.0000;1.5455;Hip1R-cortactin complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14247,P50570&tool=chartReport&annot=GOTERM_MF_ALL
22;2;P02768,P02649;138;138.0000;0.0145;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P02768,P02649&tool=chartReport&annot=GOTERM_MF_ALL
23;2;Q8TAQ2,Q9UIG0;22;22.0000;1.8182;WICH complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q8TAQ2,Q9UIG0&tool=chartReport&annot=GOTERM_MF_ALL
24;2;O00151,O43707;141;141.0000;0.1986;Ternary complex (LRRC7, CAMK2a, ACTN4);0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00151,O43707&tool=chartReport&annot=GOTERM_MF_ALL
25;2;P68104,P14868;102;102.0000;0.3333;Multisynthetase complex;0.0455;11;0.014844600037052881;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P68104,P14868&tool=chartReport&annot=GOTERM_MF_ALL
26;2;Q99459,Q9UMS4;2;2.0000;2.0000;CDC5L core complex;0.3333;6;1.3761139642538964e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q99459,Q9UMS4&tool=chartReport&annot=GOTERM_MF_ALL
27;2;P53350,Q13526;0;0;0;PIN1-AUF1 complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P53350,Q13526&tool=chartReport&annot=GOTERM_MF_ALL
28;2;Q15124,P46939;18;18.0000;2.0000;UTM-SGCE-DAG1-CAV1-NOS3 complex;0.1000;5;0.006761306611038122;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15124,P46939&tool=chartReport&annot=GOTERM_MF_ALL
29;2;P14678,O75643;37;37.0000;1.0270;JBP1-pICln complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P14678,O75643&tool=chartReport&annot=GOTERM_MF_ALL
30;2;P63098,Q08209;27;27.0000;0.2963;PPP3CA-PPP3CA-RCAN1 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P63098,Q08209&tool=chartReport&annot=GOTERM_MF_ALL
31;2;Q86VB7,P67870;4;4.0000;0.5000;Casein kinase II (beta-dimer, alpha-dimer);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q86VB7,P67870&tool=chartReport&annot=GOTERM_MF_ALL
32;2;O14578,P61586;14;14.0000;2.0000;MRIP-RHOA complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O14578,P61586&tool=chartReport&annot=GOTERM_MF_ALL
33;2;P25490,Q00688;13;13.0000;0.3077;hs4 enhancer complex (slow migrating complex);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P25490,Q00688&tool=chartReport&annot=GOTERM_MF_ALL
34;2;P30153,P63151;0;0;0;RAF1-PPP2-PIN1 complex;0.4000;5;9.174093095026016e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P30153,P63151&tool=chartReport&annot=GOTERM_MF_ALL
35;2;P12956,P13010;85;85.0000;0.3529;Ku70/Ku86 complex;1.0000;2;9.174093095026037e-07;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P12956,P13010&tool=chartReport&annot=GOTERM_MF_ALL
36;2;P18031,P46108;7;7.0000;2.0000;CRKII-C3G complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P18031,P46108&tool=chartReport&annot=GOTERM_MF_ALL
37;2;Q07157,O43707;0;0;0;Ternary complex (LRRC7, CAMK2a, ACTN4);0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q07157,O43707&tool=chartReport&annot=GOTERM_MF_ALL
38;2;P19525,Q08211;0;0;0;GammaH2AFX-NDHII-Ku70-DNA complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P19525,Q08211&tool=chartReport&annot=GOTERM_MF_ALL
39;2;P60842,Q04637;0;0;0;MNK1-eIF4F complex;0.4000;5;9.174093095026016e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P60842,Q04637&tool=chartReport&annot=GOTERM_MF_ALL
40;2;P62826,Q92973;59;59.0000;0.6780;RANBP1-RAN-KPNB1 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62826,Q92973&tool=chartReport&annot=GOTERM_MF_ALL
41;2;P11234,P62158;9;9.0000;1.5556;CALM1-FKBP38-BCL2 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11234,P62158&tool=chartReport&annot=GOTERM_MF_ALL
42;2;P35606,P53618;9;9.0000;0.6667;CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex;0.0417;12;0.016188604675514747;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P35606,P53618&tool=chartReport&annot=GOTERM_MF_ALL
43;2;Q15637,Q01844;18;18.0000;0.6667;CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex;0.0833;6;0.00811081570530816;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15637,Q01844&tool=chartReport&annot=GOTERM_MF_ALL
44;2;P28482,P30086;60;60.0000;0.2000;HDAC4-ERK2 complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P28482,P30086&tool=chartReport&annot=GOTERM_MF_ALL
45;2;Q9NR46,Q96B97;3;3.0000;2.0000;CIN85 homotetramer complex;0.5000;1;0.0013540961408264013;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9NR46,Q96B97&tool=chartReport&annot=GOTERM_MF_ALL
46;2;P68104,P54725;8;8.0000;2.0000;SNW1 complex;0.0278;18;0.02423336691053313;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P68104,P54725&tool=chartReport&annot=GOTERM_MF_ALL
47;2;P31689,P11142;14;14.0000;0.2857;DNAJB2-HSPA8-PSMA3 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P31689,P11142&tool=chartReport&annot=GOTERM_MF_ALL
48;2;Q13501,O95817;20;20.0000;1.1000;MAP2K5-PRKCI-SQSTM1 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q13501,O95817&tool=chartReport&annot=GOTERM_MF_ALL
49;2;O14964,Q00610;3;3.0000;2.0000;RIN1-STAM2-HRS complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O14964,Q00610&tool=chartReport&annot=GOTERM_MF_ALL
50;2;P55072,Q9UNN5;23;23.0000;1.5652;BRCA1-VCP complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P55072,Q9UNN5&tool=chartReport&annot=GOTERM_MF_ALL
51;2;P63208,Q13616;15;15.0000;0.8000;Heterotrimeric SKP1-CUL1-ROC1 complex;0.6667;3;2.752227928507805e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P63208,Q13616&tool=chartReport&annot=GOTERM_MF_ALL
52;2;P35268,Q16539;11;11.0000;0.5455;60S ribosomal subunit, cytoplasmic;0.0106;47;0.06265079915529334;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P35268,Q16539&tool=chartReport&annot=GOTERM_MF_ALL
53;2;P62195,O00231;6;6.0000;1.3333;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62195,O00231&tool=chartReport&annot=GOTERM_MF_ALL
54;2;P51610,O15294;17;17.0000;1.0588;OGT-TRAK1-TRAK2 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P51610,O15294&tool=chartReport&annot=GOTERM_MF_ALL
55;2;Q05086,P68036;17;17.0000;0.9412;BRCA1-BARD1-UbcH7c complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q05086,P68036&tool=chartReport&annot=GOTERM_MF_ALL
56;2;P55036,Q99460;1;1.0000;2.0000;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P55036,Q99460&tool=chartReport&annot=GOTERM_MF_ALL
57;2;P42226,Q7KZF4;30;30.0000;0.3333;STAT6-p100-RHA complex;0.6667;3;2.752227928507805e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P42226,Q7KZF4&tool=chartReport&annot=GOTERM_MF_ALL
58;2;Q15428,P62314;8;8.0000;0.7500;SF3A1-SF3A2-SF3A3 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15428,P62314&tool=chartReport&annot=GOTERM_MF_ALL
59;2;P60709,Q9Y265;82;82.0000;0.0732;p400-associated complex;0.2857;7;1.92655954995546e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P60709,Q9Y265&tool=chartReport&annot=GOTERM_MF_ALL
60;2;Q6P2Q9,O75643;0;0;0;Exon junction complex (mRNA splicing-dependent);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q6P2Q9,O75643&tool=chartReport&annot=GOTERM_MF_ALL
61;2;O60506,Q00839;19;19.0000;0.2105;GR-hnRNP U complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O60506,Q00839&tool=chartReport&annot=GOTERM_MF_ALL
62;2;Q8TAT6,P55072;26;26.0000;0.6154;BRCA1-VCP complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q8TAT6,P55072&tool=chartReport&annot=GOTERM_MF_ALL
63;2;O00232,P62191;6;6.0000;0.6667;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00232,P62191&tool=chartReport&annot=GOTERM_MF_ALL
64;2;O15143,P61158;27;27.0000;0.5926;Arp2/3 protein complex;0.2857;7;1.92655954995546e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O15143,P61158&tool=chartReport&annot=GOTERM_MF_ALL
65;2;Q13596,O14964;0;0;0;SNX complex (SNX1, SNX6);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q13596,O14964&tool=chartReport&annot=GOTERM_MF_ALL
66;2;P19784,P14625;18;18.0000;1.1111;Casein kinase II (beta-dimer, alpha'-dimer);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P19784,P14625&tool=chartReport&annot=GOTERM_MF_ALL
67;2;P49755,Q9BVK6;67;67.0000;0.1791;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P49755,Q9BVK6&tool=chartReport&annot=GOTERM_MF_ALL
68;2;P62937,Q08209;35;35.0000;0.1143;AIF-CYPA-DNA complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62937,Q08209&tool=chartReport&annot=GOTERM_MF_ALL
69;2;P54725,P55036;0;0;0;PA700 complex;0.0250;20;0.02690761504772322;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P54725,P55036&tool=chartReport&annot=GOTERM_MF_ALL
70;2;P40818,Q92783;2;2.0000;2.0000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P40818,Q92783&tool=chartReport&annot=GOTERM_MF_ALL
71;2;Q9P253,Q9H269;5;5.0000;1.6000;Class C Vps complex (VPS11, VPS18, VPS16);0.6667;3;2.752227928507805e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9P253,Q9H269&tool=chartReport&annot=GOTERM_MF_ALL
72;2;P49755,Q15363;67;67.0000;0.2388;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P49755,Q15363&tool=chartReport&annot=GOTERM_MF_ALL
73;2;Q01081,Q96SB4;5;5.0000;1.2000;Toposome;0.0714;7;0.009459407390297488;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q01081,Q96SB4&tool=chartReport&annot=GOTERM_MF_ALL
74;2;P43686,P55036;0;0;0;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P43686,P55036&tool=chartReport&annot=GOTERM_MF_ALL
75;2;P17980,Q13200;2;2.0000;1.0000;VHL-TBP1-HIF1A complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P17980,Q13200&tool=chartReport&annot=GOTERM_MF_ALL
76;2;P30405,P12235;609;609.0000;0.0263;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P30405,P12235&tool=chartReport&annot=GOTERM_MF_ALL
77;2;P53041,P31948;0;0;0;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P53041,P31948&tool=chartReport&annot=GOTERM_MF_ALL
78;2;Q6P2Q9,Q9UMS4;5;5.0000;1.2000;Exon junction complex (mRNA splicing-dependent);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q6P2Q9,Q9UMS4&tool=chartReport&annot=GOTERM_MF_ALL
79;2;Q9H8Y8,P61019;44;44.0000;0.3636;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9H8Y8,P61019&tool=chartReport&annot=GOTERM_MF_ALL
80;2;P21281,P38606;25;25.0000;0.4000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P21281,P38606&tool=chartReport&annot=GOTERM_MF_ALL
81;2;Q05639,P24534;80;80.0000;0.1750;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q05639,P24534&tool=chartReport&annot=GOTERM_MF_ALL
82;2;P35637,Q15637;22;22.0000;0.6364;DGCR8 multiprotein complex;0.0455;11;0.014844600037052881;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P35637,Q15637&tool=chartReport&annot=GOTERM_MF_ALL
83;2;O60739,Q13347;26;26.0000;0.1538;EIF3 complex (EIF3B, EIF3J, EIF3I);0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O60739,Q13347&tool=chartReport&annot=GOTERM_MF_ALL
84;2;P67775,P49368;13;13.0000;0.3077;PPP2CA-PPP2R1A complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P67775,P49368&tool=chartReport&annot=GOTERM_MF_ALL
85;2;Q15008,Q99460;1;1.0000;2.0000;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15008,Q99460&tool=chartReport&annot=GOTERM_MF_ALL
86;2;P43686,Q15008;5;5.0000;1.6000;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P43686,Q15008&tool=chartReport&annot=GOTERM_MF_ALL
87;2;P55884,Q04637;1;1.0000;2.0000;EIF3 complex (EIF3B, EIF3J, EIF3I);0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P55884,Q04637&tool=chartReport&annot=GOTERM_MF_ALL
88;2;P47897,P54136;57;57.0000;0.3158;Multisynthetase complex;0.1818;11;5.045751202264291e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P47897,P54136&tool=chartReport&annot=GOTERM_MF_ALL
89;2;Q16543,P08238;10;10.0000;0.6000;HSP90-CDC37-LRRK2 complex;0.6667;3;2.752227928507805e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q16543,P08238&tool=chartReport&annot=GOTERM_MF_ALL
90;2;Q14974,P62826;10;10.0000;1.4000;RANBP1-RAN-KPNB1 complex;0.6667;3;2.752227928507805e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14974,P62826&tool=chartReport&annot=GOTERM_MF_ALL
91;2;Q6P2Q9,Q15029;8;8.0000;1.7500;Exon junction complex (mRNA splicing-dependent);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q6P2Q9,Q15029&tool=chartReport&annot=GOTERM_MF_ALL
92;2;P13861,P17612;24;24.0000;0.4167;KCNQ1 macromolecular complex;0.2000;10;4.1283418927616946e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P13861,P17612&tool=chartReport&annot=GOTERM_MF_ALL
93;2;P63208,Q9HB71;23;23.0000;0.6957;Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X);0.5000;4;5.5044558570156005e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P63208,Q9HB71&tool=chartReport&annot=GOTERM_MF_ALL
94;2;P49755,O15260;37;37.0000;0.2703;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P49755,O15260&tool=chartReport&annot=GOTERM_MF_ALL
95;2;Q13185,P10412;10;10.0000;0.4000;CEN complex;0.0135;37;0.049490562610416074;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q13185,P10412&tool=chartReport&annot=GOTERM_MF_ALL
96;2;Q15008,P55036;1;1.0000;2.0000;PA700 complex;0.1000;20;0.00017430776880549394;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15008,P55036&tool=chartReport&annot=GOTERM_MF_ALL
97;2;O95817,P08107;23;23.0000;0.1739;N-NOS-CHIP-HSP70-1 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O95817,P08107&tool=chartReport&annot=GOTERM_MF_ALL
98;2;P46108,Q07666;15;15.0000;1.3333;CRKII-C3G complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P46108,Q07666&tool=chartReport&annot=GOTERM_MF_ALL
99;2;P34932,P31948;3;3.0000;2.0000;HSP70-BAG5-PARK2 complex;0.1250;4;0.005410880107443487;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P34932,P31948&tool=chartReport&annot=GOTERM_MF_ALL
100;2;Q15363,O15260;17;17.0000;0.3529;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15363,O15260&tool=chartReport&annot=GOTERM_MF_ALL
101;2;Q9UNZ2,P55072;46;46.0000;0.1739;BRCA1-VCP complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9UNZ2,P55072&tool=chartReport&annot=GOTERM_MF_ALL
102;2;P54725,Q99460;0;0;0;PA700 complex;0.0250;20;0.02690761504772322;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P54725,Q99460&tool=chartReport&annot=GOTERM_MF_ALL
